vehicle_id,customer_id,vehicle_type,vehicle_model,battery_capacity_kwh,vehicle_age_years
V01737,CU02907,Two-Wheeler,Ola S1,3,0
V01738,CU04490,Two-Wheeler,Ather 450X,3,1
V01739,CU04492,Two-Wheeler,Ola S1,3,4
V01740,CU00545,Hatchback,Tata Tiago EV,35,4
V01741,CU03098,SUV,Tata Nexon EV,82,4
V01742,CU03626,Hatchback,Tata Tiago EV,40,3
V01743,CU03506,Sedan,BYD Seal,55,2
V01744,CU01085,SUV,Hyundai Ioniq 5,70,4
V01745,CU00553,Two-Wheeler,Ather 450X,3,0
V01746,CU01154,Hatchback,Tata Tiago EV,35,1
V01747,CU03939,Sedan,MG5,50,4
V01748,CU02246,Commercial Van,Mahindra Treo,120,1
V01749,CU01687,Sedan,MG5,60,0
V01750,CU00694,Commercial Van,Mahindra Treo,80,3
V01751,CU03791,Commercial Van,Mahindra Treo,80,4
V01752,CU00498,SUV,Mahindra XUV400,75,0
V01753,CU02096,Sedan,BYD Seal,55,2
V01754,CU00613,Two-Wheeler,Ola S1,4,3
V01755,CU03968,Hatchback,Tata Tiago EV,30,1
V01756,CU00376,Sedan,MG5,55,3
V01757,CU00806,Two-Wheeler,Ather 450X,3,2
V01758,CU00921,Sedan,MG5,60,0
V01759,CU04971,Hatchback,MG Comet,40,4
V01760,CU03605,SUV,Mahindra XUV400,70,2
V01761,CU01444,Two-Wheeler,Ola S1,2,3
V01762,CU01546,Hatchback,MG Comet,30,3
V01763,CU01211,Sedan,MG5,60,3
V01764,CU02081,Hatchback,MG Comet,30,0
V01765,CU04688,Sedan,BYD Seal,50,0
V01766,CU02149,Two-Wheeler,Ola S1,2,2
V01767,CU01509,Two-Wheeler,Ola S1,2,0
V01768,CU00914,SUV,Tata Nexon EV,82,3
V01769,CU02781,Hatchback,Tata Tiago EV,30,0
V01770,CU00390,Hatchback,MG Comet,30,3
V01771,CU04050,Hatchback,Tata Tiago EV,35,1
V01772,CU04256,Sedan,BYD Seal,55,0
V01773,CU04988,Hatchback,Tata Tiago EV,30,1
V01774,CU03626,Sedan,BYD Seal,55,4
V01775,CU01071,Hatchback,MG Comet,40,3
V01776,CU04792,Two-Wheeler,Ather 450X,3,4
V01777,CU04854,Two-Wheeler,Ather 450X,4,4
V01778,CU02571,SUV,Mahindra XUV400,75,1
V01779,CU03738,Hatchback,MG Comet,35,4
V01780,CU02780,Two-Wheeler,Ather 450X,3,2
V01781,CU00339,Commercial Van,Tata Ace EV,60,3
V01782,CU01977,Hatchback,Tata Tiago EV,35,2
V01783,CU03437,Two-Wheeler,Ola S1,3,4
V01784,CU00795,Two-Wheeler,Ather 450X,2,3
V01785,CU01723,SUV,Hyundai Ioniq 5,75,1
V01786,CU03220,Sedan,BYD Seal,50,3
V01787,CU00899,Sedan,MG5,50,1
V01788,CU00103,SUV,Tata Nexon EV,75,1
V01789,CU02860,Sedan,MG5,50,2
V01790,CU04189,Commercial Van,Mahindra Treo,60,4
V01791,CU01448,Two-Wheeler,Ather 450X,2,1
V01792,CU04215,Hatchback,Tata Tiago EV,30,1
V01793,CU02033,SUV,Hyundai Ioniq 5,100,1
V01794,CU04033,SUV,Tata Nexon EV,75,1
V01795,CU03061,Hatchback,Tata Tiago EV,40,2
V01796,CU01535,Sedan,MG5,60,1
V01797,CU02848,Commercial Van,Mahindra Treo,120,2
V01798,CU03210,SUV,Hyundai Ioniq 5,100,0
V01799,CU04571,Hatchback,Tata Tiago EV,35,1
V01800,CU03464,Hatchback,Tata Tiago EV,30,1
V01801,CU00435,SUV,Hyundai Ioniq 5,100,1
V01802,CU01258,SUV,Hyundai Ioniq 5,100,3
V01803,CU00055,Sedan,BYD Seal,50,4
V01804,CU00931,SUV,Tata Nexon EV,75,1
V01805,CU02800,Hatchback,Tata Tiago EV,35,0
V01806,CU00312,Hatchback,Tata Tiago EV,40,4
V01807,CU00957,SUV,Hyundai Ioniq 5,75,4
V01808,CU04084,Hatchback,MG Comet,30,2
V01809,CU04853,Two-Wheeler,Ola S1,2,3
V01810,CU02513,Hatchback,MG Comet,40,2
V01811,CU01264,SUV,Tata Nexon EV,75,0
V01812,CU02748,Sedan,BYD Seal,55,2
V01813,CU02783,Sedan,MG5,60,4
V01814,CU01094,Two-Wheeler,Ola S1,3,4
V01815,CU02787,Sedan,BYD Seal,60,3
V01816,CU02816,Two-Wheeler,Ather 450X,3,2
V01817,CU03764,SUV,Mahindra XUV400,70,3
V01818,CU04036,SUV,Hyundai Ioniq 5,100,0
V01819,CU04840,Two-Wheeler,Ather 450X,2,2
V01820,CU02324,SUV,Hyundai Ioniq 5,82,0
V01821,CU00233,SUV,Tata Nexon EV,100,4
V01822,CU02102,Two-Wheeler,Ather 450X,3,2
V01823,CU04353,Commercial Van,Mahindra Treo,60,1
V01824,CU02029,Sedan,BYD Seal,50,2
V01825,CU01930,SUV,Tata Nexon EV,100,3
V01826,CU01459,Hatchback,Tata Tiago EV,35,2
V01827,CU01649,Sedan,MG5,50,1
V01828,CU00408,Sedan,BYD Seal,60,4
V01829,CU03341,Two-Wheeler,Ola S1,4,1
V01830,CU01978,SUV,Mahindra XUV400,70,0
V01831,CU02414,Two-Wheeler,Ola S1,2,2
V01832,CU04938,Hatchback,MG Comet,35,0
V01833,CU01761,Sedan,BYD Seal,55,2
V01834,CU03598,Commercial Van,Mahindra Treo,60,0
V01835,CU01379,Hatchback,Tata Tiago EV,40,2
V01836,CU00621,Hatchback,Tata Tiago EV,40,3
V01837,CU00930,Sedan,BYD Seal,50,2
V01838,CU00975,Two-Wheeler,Ather 450X,4,3
V01839,CU04488,Sedan,MG5,50,2
V01840,CU04448,Sedan,MG5,55,1
V01841,CU02854,SUV,Tata Nexon EV,75,1
V01842,CU01690,Sedan,BYD Seal,55,2
V01843,CU04672,Two-Wheeler,Ather 450X,3,4
V01844,CU04619,Hatchback,Tata Tiago EV,40,2
V01845,CU00726,Sedan,BYD Seal,60,4
V01846,CU00162,SUV,Tata Nexon EV,70,4
V01847,CU00659,Two-Wheeler,Ola S1,4,1
V01848,CU02898,Two-Wheeler,Ather 450X,3,2
V01849,CU04620,Two-Wheeler,Ola S1,4,4
V01850,CU04100,Sedan,BYD Seal,60,2
V01851,CU02543,Hatchback,MG Comet,40,1
V01852,CU01579,Hatchback,MG Comet,30,0
V01853,CU03995,Two-Wheeler,Ather 450X,2,4
V01854,CU01075,Two-Wheeler,Ola S1,4,1
V01855,CU03206,Commercial Van,Mahindra Treo,60,0
V01856,CU04045,Hatchback,MG Comet,35,4
V01857,CU03434,SUV,Mahindra XUV400,75,0
V01858,CU00878,SUV,Tata Nexon EV,70,1
V01859,CU01092,Two-Wheeler,Ather 450X,2,3
V01860,CU03060,SUV,Mahindra XUV400,70,1
V01861,CU01675,Two-Wheeler,Ola S1,3,2
V01862,CU01609,Sedan,BYD Seal,55,4
V01863,CU02827,Hatchback,MG Comet,35,4
V01864,CU01218,Hatchback,MG Comet,30,0
V01865,CU03053,Hatchback,Tata Tiago EV,30,3
V01866,CU00314,Sedan,BYD Seal,55,1
V01867,CU00730,Hatchback,Tata Tiago EV,30,0
V01868,CU04040,Sedan,MG5,60,3
V01869,CU00384,SUV,Hyundai Ioniq 5,82,4
V01870,CU01813,Two-Wheeler,Ola S1,4,2
V01871,CU02325,Two-Wheeler,Ather 450X,4,0
V01872,CU03430,Sedan,BYD Seal,60,1
V01873,CU02746,Hatchback,Tata Tiago EV,40,2
V01874,CU01865,Hatchback,Tata Tiago EV,40,3
V01875,CU03292,Commercial Van,Tata Ace EV,60,2
V01876,CU04847,SUV,Hyundai Ioniq 5,75,3
V01877,CU00228,Hatchback,Tata Tiago EV,40,0
V01878,CU02065,Two-Wheeler,Ather 450X,3,3
V01879,CU00012,Sedan,MG5,60,0
V01880,CU01523,Two-Wheeler,Ather 450X,4,0
V01881,CU00692,Sedan,BYD Seal,60,1
V01882,CU03706,Sedan,BYD Seal,60,0
V01883,CU01740,SUV,Hyundai Ioniq 5,100,0
V01884,CU01526,Two-Wheeler,Ola S1,2,4
V01885,CU00070,Two-Wheeler,Ather 450X,2,1
V01886,CU02249,SUV,Tata Nexon EV,82,3
V01887,CU03124,Hatchback,Tata Tiago EV,35,4
V01888,CU04725,Sedan,BYD Seal,60,4
V01889,CU03331,Commercial Van,Tata Ace EV,80,0
V01890,CU01288,SUV,Hyundai Ioniq 5,82,3
V01891,CU00576,Two-Wheeler,Ather 450X,3,1
V01892,CU02173,Sedan,MG5,50,0
V01893,CU04955,SUV,Mahindra XUV400,75,2
V01894,CU00745,Sedan,BYD Seal,55,3
V01895,CU02528,Two-Wheeler,Ather 450X,2,3
V01896,CU03074,Two-Wheeler,Ola S1,3,3
V01897,CU04211,SUV,Hyundai Ioniq 5,100,3
V01898,CU04577,Sedan,MG5,50,4
V01899,CU01025,Sedan,BYD Seal,55,0
V01900,CU00942,Hatchback,MG Comet,35,0
V01901,CU00768,Commercial Van,Mahindra Treo,60,0
V01902,CU02439,Sedan,BYD Seal,55,3
V01903,CU00834,Two-Wheeler,Ola S1,2,0
V01904,CU02191,Two-Wheeler,Ather 450X,4,2
V01905,CU00628,Two-Wheeler,Ather 450X,3,3
V01906,CU00377,Commercial Van,Mahindra Treo,60,0
V01907,CU03887,SUV,Tata Nexon EV,100,2
V01908,CU00090,Two-Wheeler,Ola S1,3,0
V01909,CU02856,Hatchback,Tata Tiago EV,40,0
V01910,CU01066,SUV,Hyundai Ioniq 5,75,4
V01911,CU01059,Two-Wheeler,Ola S1,4,1
V01912,CU03060,Sedan,BYD Seal,60,1
V01913,CU04073,Two-Wheeler,Ather 450X,4,2
V01914,CU02601,Two-Wheeler,Ather 450X,4,1
V01915,CU04220,Two-Wheeler,Ola S1,3,0
V01916,CU02105,Sedan,MG5,50,3
V01917,CU02854,SUV,Hyundai Ioniq 5,75,3
V01918,CU02656,Sedan,MG5,60,2
V01919,CU01516,Two-Wheeler,Ola S1,2,2
V01920,CU03018,Sedan,MG5,60,2
V01921,CU04148,SUV,Tata Nexon EV,75,2
V01922,CU01574,Sedan,BYD Seal,50,0
V01923,CU02537,Hatchback,Tata Tiago EV,30,0
V01924,CU03927,Hatchback,Tata Tiago EV,35,3
V01925,CU02053,Hatchback,Tata Tiago EV,40,3
V01926,CU03797,SUV,Mahindra XUV400,82,1
V01927,CU00632,Two-Wheeler,Ola S1,4,4
V01928,CU01862,Hatchback,MG Comet,35,0
V01929,CU03953,Hatchback,Tata Tiago EV,40,0
V01930,CU01233,Sedan,MG5,50,3
V01931,CU02265,Two-Wheeler,Ather 450X,3,3
V01932,CU02048,Hatchback,MG Comet,40,4
V01933,CU00536,Sedan,MG5,55,1
V01934,CU03534,Hatchback,Tata Tiago EV,30,1
V01935,CU04826,Sedan,BYD Seal,55,4
V01936,CU03098,Hatchback,MG Comet,30,1
V01937,CU01276,Sedan,BYD Seal,60,1
V01938,CU03074,Two-Wheeler,Ola S1,3,3
V01939,CU01026,SUV,Mahindra XUV400,70,1
V01940,CU02052,Hatchback,MG Comet,35,2
V01941,CU03622,SUV,Tata Nexon EV,70,0
V01942,CU04564,Sedan,MG5,55,0
V01943,CU00201,Commercial Van,Mahindra Treo,80,0
V01944,CU04404,Sedan,BYD Seal,55,2
V01945,CU03324,Two-Wheeler,Ola S1,3,2
V01946,CU03359,Two-Wheeler,Ola S1,3,1
V01947,CU02972,Hatchback,MG Comet,35,3
V01948,CU04979,Commercial Van,Mahindra Treo,60,4
V01949,CU00586,Sedan,MG5,60,3
V01950,CU03346,SUV,Tata Nexon EV,70,4
V01951,CU03855,Hatchback,MG Comet,30,0
V01952,CU04605,Sedan,BYD Seal,60,2
V01953,CU03425,SUV,Hyundai Ioniq 5,100,1
V01954,CU04101,Sedan,BYD Seal,55,0
V01955,CU00360,Sedan,MG5,55,2
V01956,CU03670,Sedan,BYD Seal,60,3
V01957,CU04310,SUV,Tata Nexon EV,82,3
V01958,CU03478,Sedan,MG5,60,3
V01959,CU04659,Hatchback,Tata Tiago EV,35,3
V01960,CU02813,SUV,Mahindra XUV400,75,4
V01961,CU00045,Sedan,MG5,55,0
V01962,CU02751,Sedan,BYD Seal,55,2
V01963,CU00634,Hatchback,Tata Tiago EV,40,1
V01964,CU01211,Hatchback,MG Comet,35,0
V01965,CU01750,Hatchback,MG Comet,35,0
V01966,CU03242,Commercial Van,Tata Ace EV,80,0
V01967,CU02769,Sedan,BYD Seal,55,4
V01968,CU00594,Hatchback,Tata Tiago EV,35,0
V01969,CU01425,Hatchback,Tata Tiago EV,35,0
V01970,CU01927,Hatchback,Tata Tiago EV,30,1
V01971,CU00857,SUV,Mahindra XUV400,75,4
V01972,CU00552,Hatchback,Tata Tiago EV,30,1
V01973,CU04139,Sedan,MG5,55,2
V01974,CU02889,Sedan,BYD Seal,50,4
V01975,CU04275,Two-Wheeler,Ather 450X,4,1
V01976,CU01481,Sedan,MG5,60,0
V01977,CU00607,Sedan,BYD Seal,60,2
V01978,CU00672,Two-Wheeler,Ola S1,3,1
V01979,CU03316,Sedan,BYD Seal,60,3
V01980,CU00017,Two-Wheeler,Ola S1,4,1
V01981,CU02874,SUV,Mahindra XUV400,75,0
V01982,CU02595,Sedan,MG5,55,1
V01983,CU02485,SUV,Tata Nexon EV,70,4
V01984,CU00616,Commercial Van,Tata Ace EV,80,2
V01985,CU03206,SUV,Mahindra XUV400,75,1
V01986,CU02850,Commercial Van,Tata Ace EV,60,4
V01987,CU04408,Hatchback,Tata Tiago EV,40,3
V01988,CU03808,Sedan,BYD Seal,50,0
V01989,CU02073,Commercial Van,Mahindra Treo,60,0
V01990,CU00525,Sedan,MG5,55,2
V01991,CU03174,Commercial Van,Tata Ace EV,60,4
V01992,CU01474,Hatchback,MG Comet,40,4
V01993,CU02426,Commercial Van,Mahindra Treo,80,4
V01994,CU04984,Sedan,BYD Seal,50,2
V01995,CU03275,Hatchback,MG Comet,30,1
V01996,CU03339,Two-Wheeler,Ola S1,3,2
V01997,CU02008,Sedan,MG5,55,2
V01998,CU04558,Hatchback,Tata Tiago EV,30,2
V01999,CU02413,Hatchback,MG Comet,40,3
V02000,CU02152,SUV,Hyundai Ioniq 5,75,0
V02001,CU03183,Commercial Van,Mahindra Treo,80,4
V02002,CU00428,Hatchback,MG Comet,30,3
V02003,CU04565,Sedan,MG5,55,1
V02004,CU01015,Hatchback,MG Comet,40,0
V02005,CU01605,Two-Wheeler,Ather 450X,2,2
V02006,CU00870,Hatchback,MG Comet,35,0
V02007,CU02728,Hatchback,Tata Tiago EV,40,4
V02008,CU02853,Hatchback,Tata Tiago EV,30,1
V02009,CU00886,SUV,Tata Nexon EV,75,0
V02010,CU02609,Two-Wheeler,Ola S1,3,0
V02011,CU01274,SUV,Mahindra XUV400,70,0
V02012,CU04427,Hatchback,MG Comet,35,1
V02013,CU01956,SUV,Hyundai Ioniq 5,100,4
V02014,CU00587,Two-Wheeler,Ola S1,3,0
V02015,CU00201,Hatchback,MG Comet,30,4
V02016,CU04550,Hatchback,MG Comet,30,3
V02017,CU03618,Hatchback,Tata Tiago EV,40,3
V02018,CU00826,Two-Wheeler,Ola S1,3,3
V02019,CU00111,SUV,Tata Nexon EV,70,2
V02020,CU02912,SUV,Mahindra XUV400,100,0
V02021,CU03900,Hatchback,Tata Tiago EV,40,2
V02022,CU00908,Sedan,BYD Seal,50,0
V02023,CU03716,Commercial Van,Tata Ace EV,120,1
V02024,CU03690,Hatchback,Tata Tiago EV,30,1
V02025,CU00555,Commercial Van,Mahindra Treo,120,4
V02026,CU01904,SUV,Hyundai Ioniq 5,70,2
V02027,CU00107,Hatchback,MG Comet,30,1
V02028,CU03337,Sedan,BYD Seal,50,2
V02029,CU02535,Commercial Van,Tata Ace EV,60,4
V02030,CU02227,Sedan,BYD Seal,60,2
V02031,CU03294,Two-Wheeler,Ather 450X,4,1
V02032,CU01394,Sedan,BYD Seal,60,2
V02033,CU02685,SUV,Mahindra XUV400,75,2
V02034,CU02836,Two-Wheeler,Ather 450X,3,1
V02035,CU00167,Commercial Van,Tata Ace EV,80,3
V02036,CU02711,Sedan,BYD Seal,60,1
V02037,CU03625,SUV,Hyundai Ioniq 5,100,4
V02038,CU02348,Hatchback,Tata Tiago EV,35,1
V02039,CU01405,Sedan,MG5,50,3
V02040,CU01526,Sedan,BYD Seal,55,3
V02041,CU04410,Hatchback,MG Comet,30,2
V02042,CU04912,Sedan,MG5,50,1
V02043,CU04839,Sedan,MG5,55,0
V02044,CU02775,Commercial Van,Tata Ace EV,120,3
V02045,CU00826,SUV,Hyundai Ioniq 5,75,4
V02046,CU01125,Sedan,BYD Seal,55,0
V02047,CU00569,Commercial Van,Tata Ace EV,60,3
V02048,CU01959,Hatchback,MG Comet,30,1
V02049,CU03740,Sedan,BYD Seal,60,1
V02050,CU02110,SUV,Tata Nexon EV,82,2
V02051,CU04465,Hatchback,Tata Tiago EV,40,2
V02052,CU04190,Two-Wheeler,Ola S1,3,3
V02053,CU04095,Hatchback,MG Comet,35,1
V02054,CU02931,Hatchback,MG Comet,35,1
V02055,CU00764,Hatchback,MG Comet,40,1
V02056,CU03361,Commercial Van,Tata Ace EV,120,0
V02057,CU03451,SUV,Tata Nexon EV,75,2
V02058,CU02148,SUV,Mahindra XUV400,70,0
V02059,CU03396,SUV,Hyundai Ioniq 5,75,0
V02060,CU04425,Sedan,BYD Seal,60,3
V02061,CU03720,SUV,Hyundai Ioniq 5,82,0
V02062,CU04802,Sedan,BYD Seal,50,3
V02063,CU00221,Hatchback,MG Comet,35,2
V02064,CU01862,SUV,Hyundai Ioniq 5,75,2
V02065,CU02615,Hatchback,Tata Tiago EV,35,0
V02066,CU01022,Hatchback,MG Comet,40,2
V02067,CU00110,Two-Wheeler,Ola S1,3,3
V02068,CU04245,SUV,Tata Nexon EV,70,2
V02069,CU03849,SUV,Mahindra XUV400,82,1
V02070,CU00699,Sedan,BYD Seal,50,0
V02071,CU00108,Sedan,BYD Seal,50,2
V02072,CU00389,SUV,Hyundai Ioniq 5,82,3
V02073,CU00425,Two-Wheeler,Ather 450X,2,1
V02074,CU02495,SUV,Hyundai Ioniq 5,82,4
V02075,CU02966,Commercial Van,Mahindra Treo,80,1
V02076,CU02704,Commercial Van,Tata Ace EV,120,1
V02077,CU02000,Sedan,MG5,55,2
V02078,CU03576,Two-Wheeler,Ather 450X,3,3
V02079,CU01528,SUV,Mahindra XUV400,70,2
V02080,CU04054,SUV,Hyundai Ioniq 5,75,3
V02081,CU02027,Hatchback,Tata Tiago EV,35,4
V02082,CU02369,SUV,Mahindra XUV400,100,1
V02083,CU02767,Commercial Van,Mahindra Treo,60,2
V02084,CU01856,Two-Wheeler,Ola S1,4,0
V02085,CU00447,Two-Wheeler,Ola S1,4,1
V02086,CU01598,Hatchback,Tata Tiago EV,35,1
V02087,CU00210,Sedan,MG5,55,1
V02088,CU00849,Hatchback,Tata Tiago EV,35,3
V02089,CU01652,Sedan,MG5,55,4
V02090,CU01917,SUV,Mahindra XUV400,82,0
V02091,CU03530,Sedan,MG5,55,2
V02092,CU01919,SUV,Hyundai Ioniq 5,70,1
V02093,CU00577,Sedan,MG5,60,2
V02094,CU00689,Sedan,BYD Seal,55,0
V02095,CU00790,Hatchback,MG Comet,40,4
V02096,CU01356,Two-Wheeler,Ather 450X,4,2
V02097,CU01688,Hatchback,Tata Tiago EV,30,1
V02098,CU00350,Hatchback,MG Comet,30,4
V02099,CU02718,Two-Wheeler,Ola S1,3,4
V02100,CU03540,Commercial Van,Tata Ace EV,60,1
V02101,CU04522,Two-Wheeler,Ola S1,2,3
V02102,CU04423,Hatchback,MG Comet,30,1
V02103,CU01130,Hatchback,Tata Tiago EV,35,1
V02104,CU04351,Commercial Van,Mahindra Treo,80,2
V02105,CU04540,Two-Wheeler,Ather 450X,3,1
V02106,CU04209,SUV,Mahindra XUV400,70,3
V02107,CU04785,Hatchback,MG Comet,30,1
V02108,CU00991,Hatchback,MG Comet,40,1
V02109,CU01874,Hatchback,MG Comet,30,1
V02110,CU04142,SUV,Hyundai Ioniq 5,70,2
V02111,CU04853,Hatchback,MG Comet,40,3
V02112,CU01377,Commercial Van,Mahindra Treo,60,2
V02113,CU01227,Hatchback,MG Comet,40,0
V02114,CU00564,Two-Wheeler,Ather 450X,2,3
V02115,CU02888,Hatchback,Tata Tiago EV,40,3
V02116,CU01341,SUV,Mahindra XUV400,75,1
V02117,CU03738,Hatchback,Tata Tiago EV,40,3
V02118,CU01438,Two-Wheeler,Ather 450X,4,2
V02119,CU00095,SUV,Tata Nexon EV,100,1
V02120,CU03297,Hatchback,Tata Tiago EV,40,0
V02121,CU00949,Two-Wheeler,Ather 450X,3,2
V02122,CU04649,SUV,Tata Nexon EV,75,0
V02123,CU02693,Commercial Van,Mahindra Treo,120,2
V02124,CU04162,Commercial Van,Mahindra Treo,120,2
V02125,CU03282,Commercial Van,Mahindra Treo,120,1
V02126,CU01498,Hatchback,Tata Tiago EV,40,1
V02127,CU04761,Hatchback,Tata Tiago EV,30,2
V02128,CU02732,Commercial Van,Tata Ace EV,60,2
V02129,CU02744,Sedan,MG5,50,1
V02130,CU04276,Hatchback,MG Comet,35,0
V02131,CU02882,Two-Wheeler,Ather 450X,4,0
V02132,CU00202,Sedan,BYD Seal,55,0
V02133,CU01499,Two-Wheeler,Ather 450X,4,3
V02134,CU03087,Two-Wheeler,Ather 450X,4,3
V02135,CU03114,Two-Wheeler,Ola S1,2,2
V02136,CU02591,Sedan,MG5,50,2
V02137,CU01949,Sedan,MG5,50,1
V02138,CU03605,Sedan,BYD Seal,60,4
V02139,CU03964,Sedan,BYD Seal,55,2
V02140,CU00694,Hatchback,MG Comet,40,4
V02141,CU01720,Sedan,MG5,55,0
V02142,CU03934,SUV,Hyundai Ioniq 5,75,3
V02143,CU03733,SUV,Tata Nexon EV,70,3
V02144,CU02660,Two-Wheeler,Ather 450X,2,1
V02145,CU01722,SUV,Hyundai Ioniq 5,70,0
V02146,CU04052,Hatchback,MG Comet,30,0
V02147,CU02292,SUV,Mahindra XUV400,70,1
V02148,CU04200,Two-Wheeler,Ather 450X,2,1
V02149,CU02699,Sedan,BYD Seal,55,0
V02150,CU03375,SUV,Tata Nexon EV,82,1
V02151,CU01011,Hatchback,Tata Tiago EV,40,4
V02152,CU01042,Sedan,MG5,50,0
V02153,CU01558,Commercial Van,Tata Ace EV,80,4
V02154,CU01208,Commercial Van,Tata Ace EV,80,1
V02155,CU01681,SUV,Hyundai Ioniq 5,75,2
V02156,CU03622,Two-Wheeler,Ola S1,3,2
V02157,CU03353,Two-Wheeler,Ola S1,2,0
V02158,CU01679,Commercial Van,Mahindra Treo,120,4
V02159,CU03597,Sedan,MG5,55,1
V02160,CU02746,SUV,Tata Nexon EV,70,0
V02161,CU03546,Sedan,BYD Seal,60,0
V02162,CU02994,Hatchback,Tata Tiago EV,40,1
V02163,CU00781,Sedan,BYD Seal,60,0
V02164,CU00946,Two-Wheeler,Ather 450X,4,3
V02165,CU03429,Two-Wheeler,Ather 450X,3,0
V02166,CU03099,Two-Wheeler,Ather 450X,2,1
V02167,CU00548,Hatchback,MG Comet,40,3
V02168,CU02208,SUV,Tata Nexon EV,75,1
V02169,CU02985,Hatchback,MG Comet,30,1
V02170,CU02591,Hatchback,Tata Tiago EV,40,0
V02171,CU02175,Commercial Van,Tata Ace EV,120,1
V02172,CU01798,Sedan,BYD Seal,50,4
V02173,CU01881,Two-Wheeler,Ola S1,4,1
V02174,CU03057,Hatchback,MG Comet,40,0
V02175,CU02258,Sedan,MG5,55,0
V02176,CU02198,SUV,Hyundai Ioniq 5,75,4
V02177,CU00031,Hatchback,MG Comet,30,4
V02178,CU00612,Sedan,MG5,50,2
V02179,CU04398,Hatchback,Tata Tiago EV,40,4
V02180,CU03011,SUV,Mahindra XUV400,70,2
V02181,CU02913,Commercial Van,Mahindra Treo,80,3
V02182,CU03803,Two-Wheeler,Ather 450X,4,2
V02183,CU02813,Commercial Van,Mahindra Treo,60,4
V02184,CU00683,Two-Wheeler,Ola S1,2,1
V02185,CU00257,Two-Wheeler,Ola S1,2,1
V02186,CU00940,SUV,Mahindra XUV400,70,4
V02187,CU02895,SUV,Tata Nexon EV,82,4
V02188,CU03186,Sedan,MG5,55,0
V02189,CU00777,Two-Wheeler,Ola S1,4,3
V02190,CU02733,Hatchback,Tata Tiago EV,35,4
V02191,CU00732,Hatchback,Tata Tiago EV,35,4
V02192,CU02043,Commercial Van,Tata Ace EV,80,0
V02193,CU00970,Hatchback,MG Comet,35,2
V02194,CU00103,Commercial Van,Mahindra Treo,80,0
V02195,CU01084,Two-Wheeler,Ola S1,3,3
V02196,CU04863,Sedan,MG5,60,4
V02197,CU03071,SUV,Mahindra XUV400,100,4
V02198,CU03749,Two-Wheeler,Ola S1,4,2
V02199,CU00372,Hatchback,Tata Tiago EV,40,4
V02200,CU00679,Two-Wheeler,Ather 450X,2,2
V02201,CU00202,Two-Wheeler,Ather 450X,4,2
V02202,CU00089,Hatchback,MG Comet,40,4
V02203,CU01997,Hatchback,MG Comet,30,2
V02204,CU04495,Hatchback,Tata Tiago EV,30,4
V02205,CU00188,Hatchback,MG Comet,35,1
V02206,CU04748,Hatchback,MG Comet,35,4
V02207,CU01555,Two-Wheeler,Ola S1,4,3
V02208,CU04683,Sedan,MG5,50,1
V02209,CU00230,Two-Wheeler,Ola S1,2,3
V02210,CU03553,Sedan,MG5,50,1
V02211,CU00055,Sedan,BYD Seal,55,2
V02212,CU04367,SUV,Tata Nexon EV,75,1
V02213,CU04032,Two-Wheeler,Ola S1,2,3
V02214,CU01124,SUV,Hyundai Ioniq 5,82,1
V02215,CU03141,Sedan,BYD Seal,55,1
V02216,CU03371,Two-Wheeler,Ola S1,4,2
V02217,CU01553,Sedan,BYD Seal,60,2
V02218,CU00116,Hatchback,Tata Tiago EV,35,1
V02219,CU03614,Sedan,BYD Seal,60,0
V02220,CU04419,Two-Wheeler,Ola S1,3,1
V02221,CU02611,Hatchback,MG Comet,35,3
V02222,CU00360,SUV,Mahindra XUV400,75,3
V02223,CU00028,SUV,Tata Nexon EV,70,3
V02224,CU03838,Commercial Van,Mahindra Treo,80,4
V02225,CU03534,Sedan,MG5,55,2
V02226,CU01419,Sedan,BYD Seal,60,1
V02227,CU04040,Sedan,BYD Seal,55,3
V02228,CU02917,Sedan,BYD Seal,60,2
V02229,CU01295,Two-Wheeler,Ather 450X,4,3
V02230,CU03630,SUV,Tata Nexon EV,100,4
V02231,CU02076,Two-Wheeler,Ather 450X,4,3
V02232,CU04840,Two-Wheeler,Ather 450X,3,1
V02233,CU03678,Commercial Van,Tata Ace EV,60,4
V02234,CU03154,Sedan,BYD Seal,50,2
V02235,CU01779,Commercial Van,Mahindra Treo,120,2
V02236,CU04676,Hatchback,MG Comet,30,3
V02237,CU03895,Two-Wheeler,Ather 450X,3,0
V02238,CU02499,SUV,Tata Nexon EV,70,4
V02239,CU04529,Two-Wheeler,Ather 450X,2,0
V02240,CU00374,Sedan,BYD Seal,60,2
V02241,CU02266,Two-Wheeler,Ola S1,3,1
V02242,CU01132,Commercial Van,Mahindra Treo,60,3
V02243,CU01843,Two-Wheeler,Ola S1,2,2
V02244,CU01574,Two-Wheeler,Ather 450X,2,0
V02245,CU04445,Hatchback,Tata Tiago EV,40,3
V02246,CU00788,Hatchback,Tata Tiago EV,40,2
V02247,CU01546,Commercial Van,Mahindra Treo,80,1
V02248,CU04122,SUV,Mahindra XUV400,70,3
V02249,CU04955,SUV,Mahindra XUV400,70,2
V02250,CU00370,Sedan,BYD Seal,55,0
V02251,CU04980,Hatchback,Tata Tiago EV,30,2
V02252,CU04375,Sedan,MG5,50,0
V02253,CU01703,Sedan,MG5,60,3
